parent_taxon_id,taxon_id,rank_level,leaf_class_id,name
50175,99911,10,195,Enallagma exsulans
50175,99924,10,198,Enallagma signatum
47925,52054,20,,Ischnura
52054,61508,10,141,Ischnura elegans
52054,70191,10,605,Ischnura ramburii
52054,103485,10,657,Ischnura denticollis
52054,103494,10,658,Ischnura hastata
52054,103497,10,659,Ischnura perparva
52054,103498,10,660,Ischnura posita
52054,62229,10,667,Ischnura cervula
52054,84722,10,946,Ischnura verticalis
47925,47977,20,,Argia
47977,94551,10,257,Argia immunda
47977,94545,10,957,Argia fumipennis
94545,119014,5,308,Argia fumipennis violacea
47977,94556,10,575,Argia lugens
47977,94557,10,576,Argia moesta
47977,197740,10,580,Argia funebris
47977,94571,10,581,Argia sedula
47977,94577,10,583,Argia translata
47977,94559,10,668,Argia nahuana
47977,94575,10,715,Argia tibialis
47977,47975,10,864,Argia apicalis
47977,56240,10,874,Argia vivida
47925,92832,20,,Xanthocnemis
92832,338504,10,335,Xanthocnemis zealandica
47925,87465,20,,Chromagrion
87465,97738,10,417,Chromagrion conditum
47925,51679,20,,Coenagrion
51679,51678,10,858,Coenagrion puella
47925,92419,20,,Telebasis
92419,113846,10,904,Telebasis salva
47925,61153,20,,Pyrrhosoma
61153,61152,10,910,Pyrrhosoma nymphula
426081,85991,30,,Platycnemididae
85991,91123,20,,Platycnemis
91123,109650,10,319,Platycnemis pennipes
47928,1317181,33,,Calopterygoidea
1317181,47929,30,,Calopterygidae
47929,51825,20,,Calopteryx
51825,84481,10,322,Calopteryx maculata
51825,51824,10,340,Calopteryx splendens
51825,61536,10,533,Calopteryx virgo
51825,96480,10,784,Calopteryx aequabilis
47929,51762,20,,Hetaerina
51762,102672,10,563,Hetaerina titia
51762,51761,10,917,Hetaerina americana
47928,1317183,33,,Lestoidea
1317183,47930,30,,Lestidae
47930,86783,20,,Austrolestes
86783,126269,10,508,Austrolestes colensonis
47930,89475,20,,Lestes
89475,104426,10,511,Lestes disjunctus
89475,104416,10,749,Lestes alacer
89475,104422,10,750,Lestes congener
89475,104429,10,752,Lestes dryas
89475,104419,10,896,Lestes australis
89475,104449,10,909,Lestes rectangularis
47930,86599,20,,Archilestes
86599,94513,10,567,Archilestes grandis
184884,47157,40,,Lepidoptera
47157,53784,33,,Hepialoidea
53784,53783,30,,Hepialidae
53783,374004,20,,Aenetus
374004,409639,10,4,Aenetus virescens
47157,47607,33,,Noctuoidea
47607,48670,30,,Noctuidae
48670,122465,27,,Acronictinae
122465,212045,20,,Polygrammate
212045,228593,10,5,Polygrammate hebraeicum
122465,174395,20,,Cerma
174395,205216,10,46,Cerma cerintha
122465,55624,20,,Acronicta
55624,155511,15,,Simyra
155511,1293516,13,,Acronicta insularis
1293516,624408,10,469,Acronicta insularis
55624,1096168,15,,Agriopodes
1096168,1293505,13,,Acronicta tritona
1293505,479512,10,564,Acronicta fallax
55624,1096177,15,,Acronicta
1096177,1293501,13,,Acronicta americana
1293501,145659,10,787,Acronicta americana
122465,177976,20,,Harrisimemna
177976,220974,10,989,Harrisimemna trisignata
48670,122224,27,,Noctuinae
122224,122726,25,,Phlogophorini
122726,124182,20,,Phlogophora
124182,205151,10,39,Phlogophora meticulosa
124182,124183,10,158,Phlogophora periculosa
122224,119124,25,,Prodeniini
119124,118931,20,,Spodoptera
118931,124875,10,254,Spodoptera litura
118931,118930,10,542,Spodoptera ornithogalli
119124,143120,20,,Galgula
143120,143119,10,831,Galgula partita
122224,117747,25,,Noctuini
117747,210553,24,,Agrotina
210553,61739,20,,Agrotis
61739,126276,10,439,Agrotis ipsilon
210553,173138,20,,Anicla
173138,1079151,15,,Anicla
1079151,213631,10,495,Anicla infecta
210553,119551,20,,Feltia
119551,1079139,15,,Feltia
